,feeling,news,news_tokens,news_tokens_tagged
10,positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,"['teliasonera', 'tlsn', 'say', 'offer', 'line', 'strategy', 'increase', 'ownership', 'core', 'business', 'hold', 'would', 'strengthen', 'eesti', 'telekom', 'offer', 'customer']","[('teliasonera', 'NN'), ('tlsn', 'NNS'), ('say', 'VBP'), ('offer', 'VBP'), ('line', 'NN'), ('strategy', 'NN'), ('increase', 'VB'), ('ownership', 'NN'), ('core', 'NN'), ('business', 'NN'), ('hold', 'NN'), ('would', 'MD'), ('strengthen', 'VB'), ('eesti', 'JJ'), ('telekom', 'NN'), ('offer', 'NN'), ('customer', 'NN')]"
11,positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .","['stora', 'enso', 'norske', 'skog', 'mreal', 'upmkymmene', 'credit', 'suisse', 'first', 'boston', 'cfsb', 'raise', 'fair', 'value', 'share', 'four', 'large', 'nordic', 'forestry', 'group']","[('stora', 'NNS'), ('enso', 'VBP'), ('norske', 'JJ'), ('skog', 'NN'), ('mreal', 'NN'), ('upmkymmene', 'JJ'), ('credit', 'NN'), ('suisse', 'NN'), ('first', 'JJ'), ('boston', 'NN'), ('cfsb', 'NN'), ('raise', 'VB'), ('fair', 'JJ'), ('value', 'NN'), ('share', 'NN'), ('four', 'CD'), ('large', 'JJ'), ('nordic', 'JJ'), ('forestry', 'NN'), ('group', 'NN')]"
12,positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .","['purchase', 'agreement', 'ton', 'gasoline', 'delivery', 'hamina', 'terminal', 'finland', 'sign', 'neste', 'oil', 'oyj', 'average', 'platts', 'index', 'september', 'plus', 'eight', 'u', 'dollar', 'per', 'month']","[('purchase', 'NN'), ('agreement', 'NN'), ('ton', 'NN'), ('gasoline', 'NN'), ('delivery', 'NN'), ('hamina', 'VBP'), ('terminal', 'JJ'), ('finland', 'NN'), ('sign', 'NN'), ('neste', 'NN'), ('oil', 'NN'), ('oyj', 'JJ'), ('average', 'NN'), ('platts', 'JJ'), ('index', 'NN'), ('september', 'VB'), ('plus', 'CC'), ('eight', 'CD'), ('u', 'JJ'), ('dollar', 'NN'), ('per', 'IN'), ('month', 'NN')]"
13,positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .","['finnish', 'talentum', 'report', 'operate', 'profit', 'increase', 'eur', 'mn', 'eur', 'mn', 'net', 'sale', 'total', 'eur', 'mn', 'eur', 'mn']","[('finnish', 'JJ'), ('talentum', 'NN'), ('report', 'NN'), ('operate', 'VBP'), ('profit', 'NN'), ('increase', 'NN'), ('eur', 'NN'), ('mn', 'FW'), ('eur', 'FW'), ('mn', 'FW'), ('net', 'JJ'), ('sale', 'NN'), ('total', 'JJ'), ('eur', 'NN'), ('mn', 'NN'), ('eur', 'NN'), ('mn', 'NN')]"
14,positive,"Clothing retail chain Sepp+�l+� 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .","['clothe', 'retail', 'chain', 'seppl', 'sale', 'increase', 'eur', 'mn', 'operate', 'profit', 'rise', 'eur', 'mn', 'eur', 'mn']","[('clothe', 'NN'), ('retail', 'NN'), ('chain', 'NN'), ('seppl', 'JJ'), ('sale', 'NN'), ('increase', 'NN'), ('eur', 'NN'), ('mn', 'JJ'), ('operate', 'NN'), ('profit', 'NN'), ('rise', 'NN'), ('eur', 'NN'), ('mn', 'FW'), ('eur', 'NN'), ('mn', 'NN')]"
15,positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .","['consolidate', 'net', 'sale', 'increase', 'reach', 'eur', 'operate', 'profit', 'amount', 'eur', 'compare', 'loss', 'eur', 'prior', 'year', 'period']","[('consolidate', 'JJ'), ('net', 'JJ'), ('sale', 'NN'), ('increase', 'NN'), ('reach', 'NN'), ('eur', 'JJ'), ('operate', 'NN'), ('profit', 'NN'), ('amount', 'NN'), ('eur', 'FW'), ('compare', 'JJ'), ('loss', 'NN'), ('eur', 'NN'), ('prior', 'JJ'), ('year', 'NN'), ('period', 'NN')]"
16,positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .","['foundry', 'division', 'report', 'sale', 'increase', 'eur', 'mn', 'eur', 'mn', 'correspond', 'period', 'sale', 'machine', 'shop', 'division', 'increase', 'eur', 'mn', 'eur', 'mn', 'correspond', 'period']","[('foundry', 'JJ'), ('division', 'NN'), ('report', 'NN'), ('sale', 'NN'), ('increase', 'NN'), ('eur', 'NN'), ('mn', 'FW'), ('eur', 'NN'), ('mn', 'FW'), ('correspond', 'NN'), ('period', 'NN'), ('sale', 'NN'), ('machine', 'NN'), ('shop', 'NN'), ('division', 'NN'), ('increase', 'NN'), ('eur', 'NN'), ('mn', 'FW'), ('eur', 'NN'), ('mn', 'FW'), ('correspond', 'NN'), ('period', 'NN')]"
17,positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .","['helsinki', 'afx', 'share', 'close', 'high', 'lead', 'nokia', 'announce', 'plan', 'team', 'sanyo', 'manufacture', 'g', 'handset', 'nokian', 'tyre', 'fourthquarter', 'earn', 'report', 'beat', 'analyst', 'expectation', 'dealer', 'say']","[('helsinki', 'NN'), ('afx', 'NN'), ('share', 'NN'), ('close', 'RB'), ('high', 'JJ'), ('lead', 'NN'), ('nokia', 'NNS'), ('announce', 'NN'), ('plan', 'NN'), ('team', 'NN'), ('sanyo', 'JJ'), ('manufacture', 'NN'), ('g', 'NN'), ('handset', 'NN'), ('nokian', 'JJ'), ('tyre', 'NN'), ('fourthquarter', 'NN'), ('earn', 'VBP'), ('report', 'NN'), ('beat', 'NN'), ('analyst', 'NN'), ('expectation', 'NN'), ('dealer', 'NNS'), ('say', 'VBP')]"
18,positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .","['incap', 'contract', 'manufacture', 'service', 'pvt', 'ltd', 'subsidiary', 'incap', 'corporation', 'finland', 'plan', 'double', 'revenue']","[('incap', 'NN'), ('contract', 'NN'), ('manufacture', 'NN'), ('service', 'NN'), ('pvt', 'JJ'), ('ltd', 'JJ'), ('subsidiary', 'NN'), ('incap', 'NN'), ('corporation', 'NN'), ('finland', 'NN'), ('plan', 'NN'), ('double', 'JJ'), ('revenue', 'NN')]"
19,positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .","['board', 'director', 'propose', 'dividend', 'eur', 'per', 'share', 'eur', 'per', 'share', 'pay']","[('board', 'NN'), ('director', 'NN'), ('propose', 'VBD'), ('dividend', 'NN'), ('eur', 'NN'), ('per', 'IN'), ('share', 'NN'), ('eur', 'NN'), ('per', 'IN'), ('share', 'NN'), ('pay', 'NN')]"
20,positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .","['lifetree', 'found', 'revenue', 'rise', 'average', 'margin', 'late']","[('lifetree', 'NN'), ('found', 'VBD'), ('revenue', 'NN'), ('rise', 'NN'), ('average', 'JJ'), ('margin', 'NN'), ('late', 'JJ')]"
21,positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .","['filippova', 'trilateral', 'agreement', 'investment', 'construction', 'technology', 'park', 'st', 'petersburg', 'sign', 'course', 'forum', 'day', 'russian', 'economy', 'open', 'helsinki', 'today']","[('filippova', 'JJ'), ('trilateral', 'JJ'), ('agreement', 'NN'), ('investment', 'NN'), ('construction', 'NN'), ('technology', 'NN'), ('park', 'NN'), ('st', 'NN'), ('petersburg', 'VBP'), ('sign', 'NN'), ('course', 'NN'), ('forum', 'JJ'), ('day', 'NN'), ('russian', 'JJ'), ('economy', 'NN'), ('open', 'JJ'), ('helsinki', 'NN'), ('today', 'NN')]"
22,positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .","['megafon', 'subscriber', 'base', 'increase', 'million', 'user', 'december', 'market', 'share', 'number', 'customer', 'amount', 'late', 'late', 'accord', 'teliasonera', 'estimate']","[('megafon', 'JJ'), ('subscriber', 'NN'), ('base', 'NN'), ('increase', 'NN'), ('million', 'CD'), ('user', 'JJ'), ('december', 'NN'), ('market', 'NN'), ('share', 'NN'), ('number', 'NN'), ('customer', 'NN'), ('amount', 'NN'), ('late', 'RB'), ('late', 'JJ'), ('accord', 'NN'), ('teliasonera', 'NN'), ('estimate', 'NN')]"
23,positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .","['net', 'income', 'life', 'insurance', 'double', 'eur', 'mn', 'eur', 'mn', 'net', 'income', 'nonlife', 'insurance', 'rise', 'eur', 'mn', 'eur', 'mn', 'correspond', 'period']","[('net', 'JJ'), ('income', 'NN'), ('life', 'NN'), ('insurance', 'NN'), ('double', 'JJ'), ('eur', 'NN'), ('mn', 'NN'), ('eur', 'NN'), ('mn', 'FW'), ('net', 'JJ'), ('income', 'NN'), ('nonlife', 'NN'), ('insurance', 'NN'), ('rise', 'NN'), ('eur', 'NN'), ('mn', 'FW'), ('eur', 'NN'), ('mn', 'FW'), ('correspond', 'NN'), ('period', 'NN')]"
24,positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),"['net', 'sale', 'increase', 'eur', 'eur', 'pretax', 'profit', 'rise', 'eur', 'eur', 'usd']","[('net', 'JJ'), ('sale', 'NN'), ('increase', 'NN'), ('eur', 'NN'), ('eur', 'JJ'), ('pretax', 'JJ'), ('profit', 'NN'), ('rise', 'NN'), ('eur', 'NN'), ('eur', 'NN'), ('usd', 'NN')]"
25,positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .","['net', 'sale', 'surge', 'eur', 'teleste', 'say', 'eur', 'sale', 'come', 'acquisition', 'make']","[('net', 'JJ'), ('sale', 'NN'), ('surge', 'NN'), ('eur', 'JJ'), ('teleste', 'NN'), ('say', 'VBP'), ('eur', 'JJ'), ('sale', 'NN'), ('come', 'VBP'), ('acquisition', 'NN'), ('make', 'VBP')]"
26,positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,"['nordea', 'group', 'operate', 'profit', 'increase', 'percent', 'yearonyear', 'billion', 'euro', 'total', 'revenue', 'percent', 'billion', 'euro']","[('nordea', 'NNS'), ('group', 'NN'), ('operate', 'VBP'), ('profit', 'NN'), ('increase', 'NN'), ('percent', 'NN'), ('yearonyear', 'JJ'), ('billion', 'CD'), ('euro', 'FW'), ('total', 'JJ'), ('revenue', 'NN'), ('percent', 'NN'), ('billion', 'CD'), ('euro', 'NN')]"
27,positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .","['operate', 'profit', 'ninemonth', 'period', 'increase', 'eur', 'net', 'sale', 'increase', 'eur', 'compare', 'correspond', 'period']","[('operate', 'JJ'), ('profit', 'NN'), ('ninemonth', 'JJ'), ('period', 'NN'), ('increase', 'NN'), ('eur', 'FW'), ('net', 'JJ'), ('sale', 'NN'), ('increase', 'NN'), ('eur', 'NN'), ('compare', 'JJ'), ('correspond', 'NN'), ('period', 'NN')]"
28,positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .","['operate', 'profit', 'ninemonth', 'period', 'increase', 'eur', 'net', 'sale', 'increase', 'eur', 'compare', 'correspond', 'period']","[('operate', 'JJ'), ('profit', 'NN'), ('ninemonth', 'JJ'), ('period', 'NN'), ('increase', 'NN'), ('eur', 'FW'), ('net', 'JJ'), ('sale', 'NN'), ('increase', 'NN'), ('eur', 'NN'), ('compare', 'JJ'), ('correspond', 'NN'), ('period', 'NN')]"
29,positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .","['operate', 'profit', 'threemonth', 'period', 'increase', 'eur', 'revenue', 'increase', 'eur', 'compare', 'correspond', 'period']","[('operate', 'JJ'), ('profit', 'NN'), ('threemonth', 'JJ'), ('period', 'NN'), ('increase', 'NN'), ('eur', 'NN'), ('revenue', 'NN'), ('increase', 'VB'), ('eur', 'NN'), ('compare', 'JJ'), ('correspond', 'NN'), ('period', 'NN')]"
30,positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .","['brazilian', 'unit', 'finnish', 'security', 'solution', 'provider', 'fsecure', 'sign', 'new', 'client', 'last', 'year', 'online', 'news', 'source', 'reseller', 'web', 'quote', 'division', 'commercial', 'director', 'vladimir', 'brand_o', 'say']","[('brazilian', 'JJ'), ('unit', 'NN'), ('finnish', 'JJ'), ('security', 'NN'), ('solution', 'NN'), ('provider', 'NN'), ('fsecure', 'NN'), ('sign', 'NN'), ('new', 'JJ'), ('client', 'NN'), ('last', 'JJ'), ('year', 'NN'), ('online', 'JJ'), ('news', 'NN'), ('source', 'NN'), ('reseller', 'NN'), ('web', 'NN'), ('quote', 'NN'), ('division', 'NN'), ('commercial', 'JJ'), ('director', 'NN'), ('vladimir', 'JJ'), ('brand_o', 'NNS'), ('say', 'VBP')]"
31,positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .","['company', 'net', 'profit', 'rise', 'year', 'million', 'euro', 'sale', 'million', 'euro', 'year', 'company', 'say', 'early']","[('company', 'NN'), ('net', 'NN'), ('profit', 'NN'), ('rise', 'NN'), ('year', 'NN'), ('million', 'CD'), ('euro', 'IN'), ('sale', 'NN'), ('million', 'CD'), ('euro', 'JJ'), ('year', 'NN'), ('company', 'NN'), ('say', 'VBP'), ('early', 'JJ')]"
32,positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .","['lithuanian', 'beer', 'market', 'make', 'million', 'liter', 'january', 'rise', 'percent', 'yearearlier', 'figure', 'lithuanian', 'brewer', 'association', 'report', 'cite', 'result', 'member']","[('lithuanian', 'JJ'), ('beer', 'NN'), ('market', 'NN'), ('make', 'VBP'), ('million', 'CD'), ('liter', 'JJR'), ('january', 'JJ'), ('rise', 'NN'), ('percent', 'NN'), ('yearearlier', 'JJR'), ('figure', 'NN'), ('lithuanian', 'JJ'), ('brewer', 'NN'), ('association', 'NN'), ('report', 'NN'), ('cite', 'JJ'), ('result', 'NN'), ('member', 'NN')]"
33,positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .","['viking', 'line', 'cargo', 'revenue', 'increase', 'eur', 'mn', 'cargo', 'volume', 'increase', 'cargo', 'unit']","[('viking', 'VBG'), ('line', 'NN'), ('cargo', 'NN'), ('revenue', 'NN'), ('increase', 'VB'), ('eur', 'NN'), ('mn', 'FW'), ('cargo', 'NN'), ('volume', 'NN'), ('increase', 'NN'), ('cargo', 'NN'), ('unit', 'NN')]"
34,positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .","['fair', 'value', 'property', 'portfolio', 'double', 'result', 'kapiteeli', 'acquisition', 'total', 'eur', 'million']","[('fair', 'JJ'), ('value', 'NN'), ('property', 'NN'), ('portfolio', 'NN'), ('double', 'JJ'), ('result', 'NN'), ('kapiteeli', 'JJ'), ('acquisition', 'NN'), ('total', 'JJ'), ('eur', 'NN'), ('million', 'CD')]"
35,positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,"['february', 'finnish', 'medium', 'company', 'sanoma', 'oyj', 'hel', 'saav', 'say', 'yesterday', 'net', 'profit', 'almost', 'triple', 'eur', 'eur', 'announce', 'proposal', 'raise', 'payout']","[('february', 'JJ'), ('finnish', 'JJ'), ('medium', 'NN'), ('company', 'NN'), ('sanoma', 'NN'), ('oyj', 'NN'), ('hel', 'NN'), ('saav', 'NNS'), ('say', 'VBP'), ('yesterday', 'NN'), ('net', 'JJ'), ('profit', 'NN'), ('almost', 'RB'), ('triple', 'JJ'), ('eur', 'JJ'), ('eur', 'NN'), ('announce', 'NN'), ('proposal', 'NN'), ('raise', 'VB'), ('payout', 'NN')]"
36,positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .","['helsinki', 'eliiv', 'today', 'report', 'eps', 'eur', 'increase', 'eps', 'eur']","[('helsinki', 'NN'), ('eliiv', 'NN'), ('today', 'NN'), ('report', 'VBP'), ('eps', 'NNS'), ('eur', 'JJ'), ('increase', 'NN'), ('eps', 'NNS'), ('eur', 'VBP')]"
37,positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .","['aspo', 'plc', 'stock', 'exchange', 'release', 'february', 'esl', 'ship', 'ltd', 'part', 'aspo', 'group', 'sign', 'new', 'longterm', 'contract', 'rautaruukki', 'corporation', 'marine', 'transport', 'raw', 'material', 'baltic', 'sea']","[('aspo', 'NN'), ('plc', 'CC'), ('stock', 'NN'), ('exchange', 'NN'), ('release', 'NN'), ('february', 'JJ'), ('esl', 'NN'), ('ship', 'NN'), ('ltd', 'JJ'), ('part', 'NN'), ('aspo', 'NN'), ('group', 'NN'), ('sign', 'VBD'), ('new', 'JJ'), ('longterm', 'JJ'), ('contract', 'NN'), ('rautaruukki', 'JJ'), ('corporation', 'NN'), ('marine', 'NN'), ('transport', 'NN'), ('raw', 'JJ'), ('material', 'NN'), ('baltic', 'JJ'), ('sea', 'NN')]"
38,positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .","['commission', 'income', 'increase', 'eur', 'mn', 'lend', 'volume', 'rise']","[('commission', 'NN'), ('income', 'NN'), ('increase', 'NN'), ('eur', 'NN'), ('mn', 'JJ'), ('lend', 'NN'), ('volume', 'NN'), ('rise', 'NN')]"
39,positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .","['january', 'traffic', 'measure', 'revenue', 'passenger', 'kilometre', 'rpk', 'go', 'capacity', 'measure', 'available', 'seat', 'kilometre', 'ask', 'rise']","[('january', 'JJ'), ('traffic', 'NN'), ('measure', 'NN'), ('revenue', 'NN'), ('passenger', 'NN'), ('kilometre', 'VB'), ('rpk', 'NN'), ('go', 'VBP'), ('capacity', 'NN'), ('measure', 'NN'), ('available', 'JJ'), ('seat', 'NN'), ('kilometre', 'NN'), ('ask', 'NN'), ('rise', 'NN')]"
40,positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .","['januaryseptember', 'fiskars', 'net', 'profit', 'go', 'yearonyear', 'eur', 'million', 'net', 'sale', 'eur', 'million', 'eur', 'million']","[('januaryseptember', 'NN'), ('fiskars', 'NNS'), ('net', 'JJ'), ('profit', 'NN'), ('go', 'VBP'), ('yearonyear', 'JJ'), ('eur', 'NN'), ('million', 'CD'), ('net', 'JJ'), ('sale', 'NN'), ('eur', 'NN'), ('million', 'CD'), ('eur', 'NN'), ('million', 'CD')]"
41,positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .","['net', 'income', 'life', 'insurance', 'rise', 'eur', 'mn', 'eur', 'mn', 'net', 'income', 'nonlife', 'insurance', 'eur', 'mn', 'eur', 'mn']","[('net', 'JJ'), ('income', 'NN'), ('life', 'NN'), ('insurance', 'NN'), ('rise', 'NN'), ('eur', 'NN'), ('mn', 'FW'), ('eur', 'FW'), ('mn', 'FW'), ('net', 'JJ'), ('income', 'NN'), ('nonlife', 'NN'), ('insurance', 'NN'), ('eur', 'NN'), ('mn', 'FW'), ('eur', 'NN'), ('mn', 'NN')]"
